Rank,First Name,Last Name,Net Worth,Age,Source,Country of Citizenship
1,Bill,Gates,75000000000,61,Microsoft,United States
2,Amancio,Ortega,67000000000,80,Zara,Spain
3,Warren,Buffet,60800000000,86,Berkshire Hathaway,United States
4,Carlos,Helu,50000000000,76,telecom,Mexico
5,Jeff,Bezos,45200000000,52,Amazon,United States
6,Mark,Zuckerberg,44600000000,32,Facebook,United States
7,Larry,Ellison,43600000000,72,Oracle,United States
8,Michael,Bloomberg,40000000000,74,Bloomberg LP,United States
9,Charles,Koch,39600000000,81,diversified,United States
10,David,Koch,39600000000,76,diversified,United States
11,Liliane,Bettencourt,36100000000,94,L'Oreal,France
12,Larry,Page,35200000000,43,Google,United States
13,Sergey,Brin,34400000000,43,Google,United States
14,Bernard,Arnault,34000000000,67,LVMH,France
15,Jim,Walton,33600000000,68,Wal-Mart,United States
16,Alice,Walton,32300000000,67,Wal-Mart,United States
17,Rob,Walton,31900000000,72,Wal-Mart,United States
18,Wang,Jianlin,28700000000,62,real estate,China
19,Jorge,Lemann,27800000000,77,beer,Brazil
20,Li,Ka-shing,27100000000,88,diversified,Hong Kong
